"","authfull","inst_name","cntry","np6020","firstyr","lastyr","rank (ns)","nc9620 (ns)","h20 (ns)","hm20 (ns)","nps (ns)","ncs (ns)","cpsf (ns)","ncsf (ns)","npsfl (ns)","ncsfl (ns)","c (ns)","npciting (ns)","cprat (ns)","np6020 cited9620 (ns)","self%","rank","nc9620","h20","hm20","nps","ncs","cpsf","ncsf","npsfl","ncsfl","c","npciting","cprat","np6020 cited9620","np6020_d","nc9620_d","sm-subfield-1","sm-subfield-1-frac","sm-subfield-2","sm-subfield-2-frac","sm-field","sm-field-frac","rank sm-subfield-1","rank sm-subfield-1 (ns)","sm-subfield-1 count"
"1","Ho, Yuh Shan","Asia University","twn",320,1993,2021,418,42680,67,39.9718614718615,109,7000,171,37207,299,41281,4.80242472869751,29809,1.43178234761314,266,0.0652,379,45655,76,45.2218614718615,109,7602,171,38711,299,44159,4.85279202021121,30290,1.50726312314295,298,0,1163,"Science Studies",0.10062893081761,"Environmental Sciences",0.0660377358490566,"Engineering",0.172955974842767,1,1,4114
"2","Pumera, Martin","China Medical University Hospital Taichung","twn",755,1999,2021,784,32679,82,51.9853174603175,41,4332,91,8354,648,29106,4.68183611261438,22521,1.45104569068869,719,0.1675,571,39252,93,60.9376984126985,41,4809,91,9534,648,34699,4.76590871308068,23539,1.66753048132886,726,3,233,"Nanoscience & Nanotechnology",0.267022696929239,"General Chemistry",0.192256341789052,"Chemistry",0.496662216288384,20,23,89177
"3","Chen, Shyi Ming","National Taiwan University of Science and Technology","twn",385,1988,2021,1683,16117,77,51.1833333333333,31,3008,234,11090,341,14644,4.55054697612937,8907,1.80947569327495,328,0.0991,1751,17889,81,52.7666666666667,31,3225,234,12098,341,16096,4.57628012120929,9344,1.91449058219178,357,0,642,"Artificial Intelligence & Image Processing",0.844155844155844,"Operations Research",0.0285714285714286,"Information & Communication Technologies",0.94025974025974,36,38,253359
"4","Jahn, Bor ming","National Taiwan University","twn",276,1971,2019,2990,28005,80,38.5774170274171,9,1032,53,8164,118,14714,4.42805296810953,14454,1.93752594437526,268,0.1133,2992,31582,87,40.8202741702742,9,1100,53,8812,118,16185,4.46524715033521,15301,2.06404810143128,269,0,22,"Geochemistry & Geophysics",0.698884758364312,"Geology",0.230483271375465,"Earth & Environmental Sciences",0.996282527881041,26,28,81218
"5","Yeh, Jien Wei","National Tsing Hua University","twn",249,1986,2021,4203,24602,69,29.2797369297369,5,1391,23,7394,111,15055,4.35426971014108,8282,2.97053851726636,232,0.0918,4423,27089,72,31.1114219114219,5,1480,23,7809,111,16021,4.37944464637035,8589,3.15391780183956,240,1,351,"Materials",0.62655601659751,"Applied Physics",0.170124481327801,"Enabling & Strategic Technologies",0.75103734439834,52,48,285331
"6","Liu, Leroy F.","Taipei Medical University","twn",233,1975,2018,4587,25023,74,31.4751427715411,4,1265,21,3920,137,17506,4.33509623524697,16615,1.5060487511285,230,0.0739,5008,27021,77,33.3001427715411,4,1313,21,4041,137,18448,4.3523918008325,17354,1.55704736660136,230,0,139,"Biochemistry & Molecular Biology",0.359307359307359,"Medicinal & Biomolecular Chemistry",0.199134199134199,"Biomedical Research",0.523809523809524,264,232,189264
"7","Lin, Chih Jen","National Taiwan University","twn",128,1994,2021,4627,47542,50,24.6833333333333,7,1825,17,2506,100,43333,4.3335288486941,42229,1.12581401406616,118,0.0096,5582,48002,50,25.3,7,1853,17,2604,100,43693,4.32849173060704,42384,1.13255001887505,120,0,782,"Artificial Intelligence & Image Processing",0.707317073170732,"Operations Research",0.0487804878048781,"Information & Communication Technologies",0.813008130081301,97,92,253359
"8","Chen, Chien Jen","Academia Sinica, Genomics Research Center","twn",678,1979,2020,4707,48406,110,36.1604290733433,12,81,64,7306,327,23470,4.33007825198367,34439,1.40555765266123,631,0.1249,4552,55314,119,38.7768084785385,12,88,64,8031,327,26202,4.37388252170599,37323,1.48203520617314,636,0,489,"Oncology & Carcinogenesis",0.238380809595202,"Gastroenterology & Hepatology",0.139430284857571,"Clinical Medicine",0.613193403298351,202,217,271773
"9","Lai, Michael M.C.","China Medical University","twn",351,1972,2021,5834,16011,67,37.8246753246753,25,1506,55,2595,277,13824,4.28287460841276,9998,1.60142028405681,317,0.1052,5809,17893,71,41.8655844155844,25,1551,55,2722,277,15309,4.31981707525048,10515,1.70166428911079,322,0,52,"Virology",0.600574712643678,"Biochemistry & Molecular Biology",0.0919540229885057,"Biomedical Research",0.795977011494253,38,34,64670
"10","Chen, Ding Shinn","National Taiwan University Hospital","twn",794,1974,2021,6264,32778,83,37.8072679230423,12,594,48,1391,438,17583,4.26682180224281,22791,1.4381992891931,711,0.1544,5213,38765,94,39.9710246187031,12,734,48,1692,438,20815,4.34251526013855,24167,1.60404684073323,723,0,260,"Gastroenterology & Hepatology",0.38676844783715,"Virology",0.132315521628499,"Clinical Medicine",0.712468193384224,78,95,91513
